own_id,categoryCode,parentCategoryCode,categoryTitle,categoryName,count,child_categoryCode,child_parentCategoryCode,child_categoryTitle,child_categoryName,child_count,child_childCategoryList
75,005,,신발,Shoes,28403,005,,전체,Shoes,28403,
76,005,,신발,Shoes,28403,005014,005,구두,구두,2602,
77,005,,신발,Shoes,28403,005015,005,로퍼,로퍼,3069,
78,005,,신발,Shoes,28403,005012,005,힐/펌프스,힐/펌프스,3332,
79,005,,신발,Shoes,28403,005017,005,플랫 슈즈,플랫 슈즈,1457,
80,005,,신발,Shoes,28403,005019,005,블로퍼,블로퍼,810,
81,005,,신발,Shoes,28403,005004,005,샌들,샌들,4627,
82,005,,신발,Shoes,28403,005018,005,슬리퍼,슬리퍼,4218,
83,005,,신발,Shoes,28403,005006,005,기타 신발,기타 신발,1827,
84,005,,신발,Shoes,28403,005016,005,모카신/보트 슈즈,모카신/보트 슈즈,318,
85,005,,신발,Shoes,28403,005011,005,부츠,부츠,5957,
86,005,,신발,Shoes,28403,005005,005,신발 용품,신발 용품,186,
87,004,,가방,Bag,51162,004,,전체,Bag,51162,
88,004,,가방,Bag,51162,004001,004,백팩,백팩,7159,
89,004,,가방,Bag,51162,004002,004,메신저/크로스 백,메신저/크로스 백,10862,
90,004,,가방,Bag,51162,004003,004,숄더백,숄더백,10587,
91,004,,가방,Bag,51162,004015,004,토트백,토트백,6606,
92,004,,가방,Bag,51162,004014,004,에코백,에코백,2213,
93,004,,가방,Bag,51162,004006,004,보스턴/드럼/더플백,보스턴/드럼/더플백,809,
94,004,,가방,Bag,51162,004007,004,웨이스트 백,웨이스트 백,1151,
95,004,,가방,Bag,51162,004013,004,파우치 백,파우치 백,3403,
96,004,,가방,Bag,51162,004008,004,브리프케이스,브리프케이스,365,
97,004,,가방,Bag,51162,004009,004,캐리어,캐리어,1233,
98,004,,가방,Bag,51162,004012,004,가방 소품,가방 소품,891,
99,004,,가방,Bag,51162,004016,004,지갑/머니클립,지갑/머니클립,5268,
100,004,,가방,Bag,51162,004005,004,클러치 백,클러치 백,615,
101,054,,여성 가방,Women's bag,42484,054,,전체,Women's bag,42484,
102,054,,여성 가방,Women's bag,42484,054001,054,크로스백,크로스백,9775,
103,054,,여성 가방,Women's bag,42484,054002,054,토트백,토트백,6208,
104,054,,여성 가방,Women's bag,42484,054003,054,숄더백,숄더백,10366,
105,054,,여성 가방,Women's bag,42484,054004,054,클러치 백,클러치 백,615,
106,054,,여성 가방,Women's bag,42484,054005,054,파우치 백,파우치 백,3267,
107,054,,여성 가방,Women's bag,42484,054006,054,백팩,백팩,5237,
108,054,,여성 가방,Women's bag,42484,054007,054,웨이스트 백,웨이스트 백,949,
109,054,,여성 가방,Women's bag,42484,054008,054,지갑/머니클립,지갑/머니클립,5233,
110,054,,여성 가방,Women's bag,42484,054009,054,가방 소품,가방 소품,834,
111,017,,스포츠/용품,Sports/Goods,113577,017,,전체,Sports/Goods,113577,
112,017,,스포츠/용품,Sports/Goods,113577,017016,017,상의,상의,29321,"[{'categoryCode': '017016005', 'parentCategoryCode': '017016', 'categoryTitle': '반소매 티셔츠', 'categoryName': '반소매 티셔츠', 'count': 7657, 'childCategoryList': []}, {'categoryCode': '017016002', 'parentCategoryCode': '017016', 'categoryTitle': '긴소매 티셔츠', 'categoryName': '긴소매 티셔츠', 'count': 4781, 'childCategoryList': []}, {'categoryCode': '017016003', 'parentCategoryCode': '017016', 'categoryTitle': '나시/민소매 티셔츠', 'categoryName': '나시/민소매 티셔츠', 'count': 1565, 'childCategoryList': []}, {'categoryCode': '017016004', 'parentCategoryCode': '017016', 'categoryTitle': '맨투맨/스웨트셔츠', 'categoryName': '맨투맨/스웨트셔츠', 'count': 2515, 'childCategoryList': []}, {'categoryCode': '017016006', 'parentCategoryCode': '017016', 'categoryTitle': '피케/카라 티셔츠', 'categoryName': '피케/카라 티셔츠', 'count': 5290, 'childCategoryList': []}, {'categoryCode': '017016007', 'parentCategoryCode': '017016', 'categoryTitle': '후드 티셔츠', 'categoryName': '후드 티셔츠', 'count': 1204, 'childCategoryList': []}, {'categoryCode': '017016001', 'parentCategoryCode': '017016', 'categoryTitle': '니트/스웨터', 'categoryName': '니트/스웨터', 'count': 2953, 'childCategoryList': []}, {'categoryCode': '017016009', 'parentCategoryCode': '017016', 'categoryTitle': '브라탑', 'categoryName': '브라탑', 'count': 1391, 'childCategoryList': []}, {'categoryCode': '017016010', 'parentCategoryCode': '017016', 'categoryTitle': '언더레이어', 'categoryName': '언더레이어', 'count': 575, 'childCategoryList': []}, {'categoryCode': '017016011', 'parentCategoryCode': '017016', 'categoryTitle': '유니폼', 'categoryName': '유니폼', 'count': 221, 'childCategoryList': []}, {'categoryCode': '017016008', 'parentCategoryCode': '017016', 'categoryTitle': '기타상의', 'categoryName': '기타상의', 'count': 1169, 'childCategoryList': []}]"
113,017,,스포츠/용품,Sports/Goods,113577,017020,017,하의,하의,16288,"[{'categoryCode': '017020002', 'parentCategoryCode': '017020', 'categoryTitle': '숏팬츠', 'categoryName': '숏팬츠', 'count': 2884, 'childCategoryList': []}, {'categoryCode': '017020004', 'parentCategoryCode': '017020', 'categoryTitle': '트레이닝 팬츠', 'categoryName': '트레이닝 팬츠', 'count': 1689, 'childCategoryList': []}, {'categoryCode': '017020003', 'parentCategoryCode': '017020', 'categoryTitle': '조거 팬츠', 'categoryName': '조거 팬츠', 'count': 2598, 'childCategoryList': []}, {'categoryCode': '017020012', 'parentCategoryCode': '017020', 'categoryTitle': '일자 팬츠', 'categoryName': '일자 팬츠', 'count': 3481, 'childCategoryList': []}, {'categoryCode': '017020005', 'parentCategoryCode': '017020', 'categoryTitle': '점프 슈트', 'categoryName': '점프 슈트', 'count': 145, 'childCategoryList': []}, {'categoryCode': '017020011', 'parentCategoryCode': '017020', 'categoryTitle': '오버롤', 'categoryName': '오버롤', 'count': 70, 'childCategoryList': []}, {'categoryCode': '017020007', 'parentCategoryCode': '017020', 'categoryTitle': '레깅스', 'categoryName': '레깅스', 'count': 3267, 'childCategoryList': []}, {'categoryCode': '017020010', 'parentCategoryCode': '017020', 'categoryTitle': '언더레이어', 'categoryName': '언더레이어', 'count': 107, 'childCategoryList': []}, {'categoryCode': '017020006', 'parentCategoryCode': '017020', 'categoryTitle': '유니폼', 'categoryName': '유니폼', 'count': 54, 'childCategoryList': []}, {'categoryCode': '017020001', 'parentCategoryCode': '017020', 'categoryTitle': '기타 바지', 'categoryName': '기타 바지', 'count': 1993, 'childCategoryList': []}]"
114,017,,스포츠/용품,Sports/Goods,113577,017018,017,아우터,아우터,14020,"[{'categoryCode': '017018003', 'parentCategoryCode': '017018', 'categoryTitle': '나일론/코치 재킷', 'categoryName': '나일론/코치 재킷', 'count': 3513, 'childCategoryList': []}, {'categoryCode': '017018008', 'parentCategoryCode': '017018', 'categoryTitle': '트레이닝 재킷', 'categoryName': '트레이닝 재킷', 'count': 1128, 'childCategoryList': []}, {'categoryCode': '017018007', 'parentCategoryCode': '017018', 'categoryTitle': '아노락 재킷', 'categoryName': '아노락 재킷', 'count': 1158, 'childCategoryList': []}, {'categoryCode': '017018006', 'parentCategoryCode': '017018', 'categoryTitle': '스타디움 재킷', 'categoryName': '스타디움 재킷', 'count': 159, 'childCategoryList': []}, {'categoryCode': '017018019', 'parentCategoryCode': '017018', 'categoryTitle': '블레이저', 'categoryName': '블레이저', 'count': 29, 'childCategoryList': []}, {'categoryCode': '017018010', 'parentCategoryCode': '017018', 'categoryTitle': '카디건', 'categoryName': '카디건', 'count': 770, 'childCategoryList': []}, {'categoryCode': '017018016', 'parentCategoryCode': '017018', 'categoryTitle': '후드 집업', 'categoryName': '후드 집업', 'count': 514, 'childCategoryList': []}, {'categoryCode': '017018001', 'parentCategoryCode': '017018', 'categoryTitle': '베스트', 'categoryName': '베스트', 'count': 1585, 'childCategoryList': []}, {'categoryCode': '017018009', 'parentCategoryCode': '017018', 'categoryTitle': '플리스', 'categoryName': '플리스', 'count': 491, 'childCategoryList': []}, {'categoryCode': '017018014', 'parentCategoryCode': '017018', 'categoryTitle': '숏 패딩/숏 헤비 아우터', 'categoryName': '숏 패딩/숏 헤비 아우터', 'count': 1726, 'childCategoryList': []}, {'categoryCode': '017018015', 'parentCategoryCode': '017018', 'categoryTitle': '하프 패딩/하프 헤비 아우터', 'categoryName': '하프 패딩/하프 헤비 아우터', 'count': 375, 'childCategoryList': []}, {'categoryCode': '017018013', 'parentCategoryCode': '017018', 'categoryTitle': '롱 패딩/롱 헤비 아우터', 'categoryName': '롱 패딩/롱 헤비 아우터', 'count': 187, 'childCategoryList': []}, {'categoryCode': '017018018', 'parentCategoryCode': '017018', 'categoryTitle': '패딩베스트', 'categoryName': '패딩베스트', 'count': 587, 'childCategoryList': []}, {'categoryCode': '017018017', 'parentCategoryCode': '017018', 'categoryTitle': '유니폼', 'categoryName': '유니폼', 'count': 50, 'childCategoryList': []}, {'categoryCode': '017018011', 'parentCategoryCode': '017018', 'categoryTitle': '레인코트', 'categoryName': '레인코트', 'count': 158, 'childCategoryList': []}, {'categoryCode': '017018002', 'parentCategoryCode': '017018', 'categoryTitle': '기타 점퍼/재킷', 'categoryName': '기타 점퍼/재킷', 'count': 1590, 'childCategoryList': []}]"
115,017,,스포츠/용품,Sports/Goods,113577,017017,017,스커트,스커트,3386,"[{'categoryCode': '017017002', 'parentCategoryCode': '017017', 'categoryTitle': '미니스커트', 'categoryName': '미니스커트', 'count': 3054, 'childCategoryList': []}, {'categoryCode': '017017003', 'parentCategoryCode': '017017', 'categoryTitle': '미디스커트', 'categoryName': '미디스커트', 'count': 332, 'childCategoryList': []}]"
116,017,,스포츠/용품,Sports/Goods,113577,017019,017,원피스,원피스,636,"[{'categoryCode': '017019002', 'parentCategoryCode': '017019', 'categoryTitle': '미니 원피스', 'categoryName': '미니 원피스', 'count': 460, 'childCategoryList': []}, {'categoryCode': '017019003', 'parentCategoryCode': '017019', 'categoryTitle': '미디 원피스', 'categoryName': '미디 원피스', 'count': 176, 'childCategoryList': []}]"
117,017,,스포츠/용품,Sports/Goods,113577,017021,017,상하의세트,상하의세트,859,
